iter	Passed	Remaining
410	4170	26273
411	4179	26252
412	4188	26237
413	4203	26259
414	4213	26243
415	4223	26237
416	4232	26215
417	4241	26198
418	4249	26177
419	4258	26158
420	4267	26139
421	4275	26121
422	4284	26099
423	4292	26081
424	4301	26061
425	4310	26043
426	4318	26024
427	4327	26006
428	4336	25988
429	4345	25969
430	4353	25952
431	4363	25939
432	4373	25925
433	4383	25914
434	4392	25898
435	4401	25885
436	4412	25876
437	4420	25858
438	4429	25839
439	4437	25819
440	4446	25800
441	4455	25784
442	4464	25766
443	4472	25746
444	4480	25726
445	4489	25708
446	4497	25689
447	4506	25672
448	4515	25653
449	4523	25633
450	4531	25611
451	4543	25610
452	4552	25596
453	4562	25584
454	4570	25566
455	4581	25561
456	4590	25541
457	4599	25528
458	4608	25511
459	4617	25495
460	4625	25477
461	4634	25458
462	4642	25439
463	4650	25417
464	4658	25396
465	4666	25377
466	4675	25357
467	4683	25338
468	4691	25320
469	4700	25303
470	4710	25290
471	4718	25274
472	4730	25271
473	4740	25260
474	4750	25253
475	4759	25235
476	4769	25226
477	4778	25212
478	4787	25194
479	4796	25179
480	4804	25162
481	4813	25146
482	4822	25132
483	4831	25115
484	4840	25099
485	4849	25085
486	4858	25071
487	4868	25060
488	4877	25046
489	4891	25058
490	4901	25046
491	4911	25034
492	4921	25027
493	4931	25018
494	4942	25009
495	4951	24995
496	4960	24980
497	4969	24967
498	4977	24948
499	4986	24934
500	4995	24917
501	5004	24901
502	5012	24885
503	5022	24873
504	5031	24860
505	5040	24843
506	5049	24830
507	5059	24819
508	5068	24806
509	5082	24814
510	5091	24798
511	5101	24788
512	5112	24782
513	5121	24768
514	5129	24749
515	5138	24735
516	5147	24723
517	5156	24708
518	5165	24691
519	5174	24677
520	5182	24660
521	5191	24646
522	5200	24631
523	5209	24616
524	5218	24601
525	5227	24586
526	5241	24594
527	5251	24584
528	5260	24573
529	5270	24564
530	5280	24552
531	5286	24524
532	5294	24506
533	5303	24491
534	5312	24474
535	5320	24459
536	5328	24441
537	5337	24423
538	5345	24408
539	5354	24392
540	5362	24376
541	5371	24359
542	5380	24345
543	5389	24329
544	5398	24316
545	5408	24306
546	5418	24297
547	5427	24284
548	5437	24276
549	5446	24261
550	5455	24245
551	5464	24236
552	5474	24223
553	5483	24208
554	5491	24194
555	5500	24180
556	5509	24166
557	5519	24157
558	5528	24143
559	5537	24129
560	5549	24126
561	5557	24108
562	5566	24094
563	5575	24079
564	5590	24094
565	5600	24083
566	5609	24071
567	5620	24065
568	5629	24051
569	5638	24039
570	5648	24027
571	5659	24021
572	5669	24011
573	5678	23999
574	5688	23989
575	5697	23977
576	5706	23964
577	5715	23949
578	5724	23936
579	5733	23924
580	5744	23919
581	5756	23914
582	5765	23904
583	5781	23918
584	5791	23909
585	5801	23897
586	5810	23883
587	5820	23874
588	5829	23863
589	5838	23849
590	5847	23834
591	5855	23818
592	5864	23803
593	5872	23787
594	5882	23776
595	5890	23760
596	5899	23746
597	5908	23733
598	5917	23717
599	5926	23704
600	5937	23700
601	5946	23687
602	5955	23673
603	5965	23664
604	5976	23657
605	5984	23643
606	5994	23632
607	6003	23617
608	6012	23604
609	6021	23592
610	6029	23576
611	6038	23561
612	6046	23545
613	6055	23531
614	6065	23523
615	6074	23510
616	6083	23495
617	6091	23478
618	6100	23466
619	6109	23453
620	6119	23442
621	6131	23443
622	6141	23431
623	6151	23423
624	6161	23415
625	6170	23400
626	6179	23387
627	6188	23374
628	6196	23358
629	6204	23342
630	6213	23326
631	6225	23326
632	6235	23316
633	6244	23303
634	6252	23287
635	6262	23278
636	6271	23266
637	6281	23256
638	6296	23266
639	6306	23255
640	6315	23243
641	6328	23243
642	6338	23235
643	6348	23223
644	6357	23210
645	6366	23197
646	6377	23192
647	6387	23182
648	6396	23171
649	6405	23157
650	6412	23139
651	6423	23131
652	6433	23121
653	6442	23111
654	6452	23099
655	6462	23091
656	6471	23077
657	6480	23065
658	6491	23061
659	6503	23057
660	6515	23054
661	6527	23052
662	6537	23044
663	6550	23043
664	6561	23039
665	6571	23028
666	6582	23024
667	6592	23013
668	6602	23006
669	6612	22995
670	6621	22984
671	6631	22973
672	6640	22961
673	6660	22984
674	6670	22977
675	6681	22969
676	6695	22976
677	6707	22973
678	6717	22962
679	6726	22950
680	6736	22938
681	6745	22927
682	6756	22919
683	6767	22915
684	6779	22911
685	6788	22900
686	6797	22885
687	6807	22875
688	6817	22866
689	6827	22857
690	6837	22846
691	6847	22836
692	6855	22823
693	6865	22810
694	6874	22798
695	6883	22787
696	6892	22775
697	6901	22762
698	6912	22754
699	6922	22746
700	6931	22732
701	6940	22720
702	6949	22707
703	6958	22693
704	6968	22686
705	6984	22694
706	6996	22691
707	7006	22680
708	7022	22692
709	7035	22690
710	7048	22691
711	7059	22686
712	7071	22682
713	7083	22679
714	7095	22675
715	7106	22668
716	7116	22659
717	7127	22653
718	7139	22648
719	7150	22644
720	7160	22633
721	7172	22628
722	7181	22618
723	7191	22606
724	7200	22594
725	7209	22580
726	7219	22571
727	7228	22560
728	7237	22545
729	7248	22541
730	7258	22529
731	7269	22522
732	7281	22519
733	7291	22509
734	7299	22494
735	7309	22484
736	7318	22472
737	7327	22458
738	7338	22452
739	7347	22438
740	7357	22428
741	7366	22415
742	7375	22403
743	7383	22389
744	7392	22375
745	7401	22362
746	7410	22349
747	7418	22335
748	7427	22321
749	7436	22308
750	7444	22295
751	7453	22281
752	7462	22267
753	7470	22253
754	7479	22239
755	7488	22227
756	7502	22230
757	7512	22221
758	7524	22217
759	7539	22220
760	7549	22211
761	7562	22211
762	7576	22213
763	7586	22204
764	7597	22195
765	7608	22189
766	7618	22179
767	7629	22174
768	7640	22165
769	7649	22155
770	7660	22147
771	7671	22139
772	7681	22130
773	7690	22118
774	7699	22106
775	7709	22094
776	7718	22082
777	7730	22078
778	7739	22067
779	7750	22058
780	7759	22047
781	7768	22035
782	7780	22029
783	7790	22018
784	7798	22005
785	7807	21993
786	7816	21979
787	7825	21968
788	7835	21956
789	7844	21944
790	7853	21933
791	7863	21921
792	7872	21910
793	7881	21898
794	7890	21885
795	7899	21873
796	7908	21860
797	7917	21848
798	7927	21837
799	7936	21824
800	7945	21812
801	7954	21800
802	7964	21790
803	7973	21779
804	7986	21778
805	7995	21763
806	8005	21755
807	8018	21751
808	8027	21740
809	8036	21728
810	8045	21716
811	8055	21707
812	8066	21700
813	8075	21687
814	8086	21680
815	8096	21668
816	8105	21656
817	8113	21643
818	8122	21629
819	8131	21617
820	8140	21605
821	8150	21594
822	8159	21582
823	8168	21570
824	8177	21559
825	8187	21549
826	8197	21539
827	8208	21531
828	8217	21519
829	8227	21509
830	8240	21508
831	8250	21499
832	8260	21489
833	8270	21480
834	8279	21468
835	8289	21456
836	8298	21444
837	8307	21433
838	8316	21421
839	8326	21409
840	8336	21401
841	8345	21389
842	8355	21379
843	8364	21368
844	8374	21357
845	8383	21346
846	8393	21335
847	8404	21328
848	8413	21315
849	8422	21304
850	8431	21292
851	8442	21283
852	8451	21273
853	8460	21259
854	8469	21247
855	8478	21236
856	8488	21226
857	8499	21219
858	8509	21208
859	8518	21198
860	8532	21198
861	8542	21188
862	8553	21181
863	8565	21177
864	8576	21168
865	8585	21156
866	8595	21147
867	8605	21136
868	8613	21123
869	8622	21110
870	8636	21110
871	8643	21092
872	8652	21080
873	8660	21067
874	8669	21054
875	8679	21044
876	8688	21031
877	8696	21019
878	8706	21008
879	8715	20996
880	8725	20987
881	8735	20978
882	8745	20967
883	8754	20954
884	8763	20942
885	8772	20930
886	8780	20917
887	8789	20905
888	8798	20892
