iter	MAPE	RMSE	R2	MAE
0	0.04758381661	0.8191611733	0.1763447199	0.6397291804
1	0.04297857852	0.7429527206	0.322469075	0.5778066136
2	0.03880708677	0.675493829	0.4399206769	0.5216505143
3	0.0351608382	0.613664347	0.537758906	0.4726359733
4	0.03183991577	0.5580852097	0.6176969224	0.4278984617
5	0.02876386053	0.5078082582	0.6834762614	0.3866056857
6	0.02611151167	0.4622312231	0.7377440656	0.350835977
7	0.02364815751	0.4206005804	0.7828566651	0.3176913797
8	0.02148691501	0.3837316141	0.8192568158	0.2885600289
9	0.01950120649	0.3507373065	0.8490021745	0.2618439422
10	0.01776624124	0.3204657678	0.8739421029	0.2385896726
11	0.01611923768	0.2931932216	0.8944848989	0.216441563
12	0.01471377362	0.2688997427	0.9112460804	0.197557627
13	0.01343338499	0.2472768851	0.9249460055	0.1803633053
14	0.01231438863	0.2274931542	0.9364751815	0.1653428475
15	0.01128008164	0.2096953986	0.9460260044	0.1514328319
16	0.01035854027	0.1937293229	0.9539321983	0.1390241542
17	0.009573699204	0.1798555283	0.9602941634	0.1284278377
18	0.008869092075	0.1671804575	0.9656933915	0.1189370684
19	0.008243997163	0.1558569507	0.9701833314	0.11054097
20	0.007687475117	0.1458252201	0.9738981044	0.1030646219
21	0.007184373478	0.1372397045	0.9768811452	0.09630547663
22	0.006770045602	0.1299449429	0.9792735209	0.09071930982
23	0.006389919354	0.1231514417	0.9813840258	0.08562170827
24	0.006067611756	0.1172868227	0.9831148388	0.08126318311
25	0.00578739374	0.1123820732	0.9844975319	0.07748500068
26	0.005540699664	0.1079204773	0.9857040019	0.07416380391
27	0.005331914369	0.1040158985	0.986719751	0.07135612155
28	0.00516148982	0.1007653614	0.9875368075	0.06905504828
29	0.005016801441	0.09803625946	0.9882027649	0.0670882551
30	0.004881003931	0.09559367044	0.9887833016	0.06526066946
31	0.004777751245	0.09364121476	0.989236814	0.06387494464
32	0.004684819869	0.09191617839	0.9896297151	0.06261703665
33	0.004605221591	0.09033842981	0.9899826732	0.06155861659
34	0.004534594498	0.08899761424	0.9902778236	0.06062158195
35	0.004483574395	0.08795829229	0.9905035706	0.05993647403
36	0.004432060677	0.08708207775	0.9906918294	0.05924973873
37	0.004391416063	0.08621467716	0.9908763382	0.05870813365
38	0.004355761326	0.08546081103	0.9910351962	0.05823506972
39	0.004317285779	0.08477033364	0.9911794726	0.05772512828
40	0.004285741447	0.08418672135	0.9913005066	0.05730428902
41	0.004254895621	0.08364604894	0.9914118893	0.05689141259
42	0.004222492035	0.08315357796	0.9915127177	0.05646103695
43	0.004199608843	0.08269286574	0.9916065047	0.05616357037
44	0.004175267338	0.08228334643	0.9916894329	0.055844813
45	0.004152408547	0.08189382684	0.9917679291	0.05555076086
46	0.004138519204	0.08158193295	0.9918305137	0.05536634943
47	0.004124561624	0.08123674647	0.9918995003	0.05519035547
48	0.004100045036	0.08091125952	0.9919642819	0.05486184238
49	0.00407957598	0.08057822197	0.9920302972	0.05457757399
50	0.004061560907	0.08026762207	0.9920916194	0.05433174403
51	0.004053826055	0.08006017126	0.9921324448	0.05423084795
52	0.004039413309	0.07982237198	0.9921791127	0.05404588366
53	0.004029773152	0.07958462913	0.9922256308	0.05390734788
54	0.004014478207	0.07931607807	0.9922780101	0.05368836715
55	0.00399937945	0.07904519423	0.992330665	0.0534668247
56	0.003983656431	0.07880744557	0.9923767306	0.05326256005
57	0.003970227438	0.07857934932	0.9924207955	0.05308672103
58	0.003956951353	0.07838644617	0.992457962	0.05290850697
59	0.003946979246	0.07822522772	0.9924889537	0.05277055876
60	0.003932587684	0.07796054313	0.9925396968	0.05258997604
61	0.003919652085	0.0777480302	0.9925803135	0.05241293447
62	0.003915144816	0.07761405773	0.9926058621	0.05234594159
63	0.003904728221	0.07738374441	0.99264968	0.05222117563
64	0.003889443294	0.07714137034	0.9926956518	0.05202836751
65	0.003876367827	0.07697227526	0.9927276392	0.05185737983
66	0.003869793485	0.07683500893	0.992753554	0.05176257372
67	0.003862090559	0.07669155305	0.9927805879	0.05166702664
68	0.003858053922	0.07659564467	0.9927986334	0.0516179623
69	0.003850012583	0.07646910295	0.9928224081	0.0515156948
70	0.003841823426	0.07627860513	0.9928581249	0.05141810671
71	0.003831272903	0.07609771061	0.9928919586	0.05127219853
72	0.003820151544	0.07590321417	0.9929282467	0.05111528526
73	0.003813584785	0.07579665693	0.9929480882	0.05101959427
74	0.003804230014	0.07566358084	0.9929728286	0.05090063087
75	0.003800481872	0.0755647834	0.992991168	0.05084430258
76	0.003795384124	0.07543032715	0.9930160881	0.05078413991
77	0.003789312872	0.07528264827	0.9930434078	0.05071232034
78	0.003783940754	0.07517846324	0.9930626492	0.05063164722
79	0.003779331976	0.07508048496	0.99308072	0.05057334732
80	0.0037705729	0.07496243223	0.9931024619	0.05045483042
81	0.003760730768	0.07481000173	0.9931304847	0.05032768695
82	0.003756715408	0.0747289694	0.9931453584	0.05026808222
83	0.003749924836	0.07463225458	0.9931630896	0.05018087026
84	0.003744223338	0.07451386669	0.9931847629	0.05011362764
85	0.003739025879	0.07444241121	0.9931978277	0.0500440062
